_id,Country,Happiness Score,Number of Suicides
ObjectId("5c735712d778d81e8453d350"),Switzerland,7.587,1073
ObjectId("5c735712d778d81e8453d351"),Iceland,7.561,40
ObjectId("5c735712d778d81e8453d352"),Denmark,7.527,564
ObjectId("5c735712d778d81e8453d353"),Norway,7.522,590
ObjectId("5c735712d778d81e8453d354"),Finland,7.406,731
ObjectId("5c735712d778d81e8453d355"),Netherlands,7.378,1873
ObjectId("5c735712d778d81e8453d356"),Sweden,7.364,1182
ObjectId("5c735712d778d81e8453d357"),Australia,7.284,3027
ObjectId("5c735712d778d81e8453d358"),Israel,7.278,342
ObjectId("5c735712d778d81e8453d359"),Austria,7.2,1251
ObjectId("5c735712d778d81e8453d35a"),Mexico,7.187,6234
ObjectId("5c735712d778d81e8453d35b"),United States,7.119,44189
ObjectId("5c735712d778d81e8453d35c"),Brazil,6.983,11163
ObjectId("5c735712d778d81e8453d35d"),Luxembourg,6.946,64
ObjectId("5c735712d778d81e8453d35e"),Belgium,6.937,1867
ObjectId("5c735712d778d81e8453d35f"),United Kingdom,6.867,4910
ObjectId("5c735712d778d81e8453d360"),Singapore,6.798,329
ObjectId("5c735712d778d81e8453d361"),Panama,6.786,110
ObjectId("5c735712d778d81e8453d362"),Germany,6.75,10088
ObjectId("5c735712d778d81e8453d363"),Chile,6.67,1838
ObjectId("5c735712d778d81e8453d364"),Qatar,6.611,66
ObjectId("5c735712d778d81e8453d365"),Argentina,6.574,3073
ObjectId("5c735712d778d81e8453d366"),Czech Republic,6.505,1387
ObjectId("5c735712d778d81e8453d367"),Uruguay,6.485,630
ObjectId("5c735712d778d81e8453d368"),Colombia,6.477,2332
ObjectId("5c735712d778d81e8453d369"),Thailand,6.455,4205
ObjectId("5c735712d778d81e8453d36a"),Spain,6.329,3604
ObjectId("5c735712d778d81e8453d36b"),Malta,6.302,34
ObjectId("5c735712d778d81e8453d36c"),Guatemala,6.123,494
ObjectId("5c735712d778d81e8453d36d"),Japan,5.987,23092
ObjectId("5c735712d778d81e8453d36e"),Ecuador,5.975,1073
ObjectId("5c735712d778d81e8453d36f"),Italy,5.948,3988
ObjectId("5c735712d778d81e8453d370"),Kazakhstan,5.855,2872
ObjectId("5c735712d778d81e8453d371"),Slovenia,5.848,422
ObjectId("5c735712d778d81e8453d372"),Lithuania,5.833,896
ObjectId("5c735712d778d81e8453d373"),Nicaragua,5.828,315
ObjectId("5c735712d778d81e8453d374"),Poland,5.791,5420
ObjectId("5c735712d778d81e8453d375"),Croatia,5.759,739
ObjectId("5c735712d778d81e8453d376"),Cyprus,5.689,40
ObjectId("5c735712d778d81e8453d377"),Turkmenistan,5.548,133
ObjectId("5c735712d778d81e8453d378"),Mauritius,5.477,104
ObjectId("5c735712d778d81e8453d379"),Estonia,5.429,195
ObjectId("5c735712d778d81e8453d37a"),Turkey,5.332,1532
ObjectId("5c735712d778d81e8453d37b"),Kyrgyzstan,5.286,417
ObjectId("5c735712d778d81e8453d37c"),Romania,5.124,2228
ObjectId("5c735712d778d81e8453d37d"),Serbia,5.123,1062
ObjectId("5c735712d778d81e8453d37e"),Latvia,5.098,387
ObjectId("5c735712d778d81e8453d37f"),Greece,4.857,529
ObjectId("5c735712d778d81e8453d380"),Hungary,4.8,1868
ObjectId("5c735712d778d81e8453d381"),Ukraine,4.681,7574
ObjectId("5c735712d778d81e8453d382"),South Africa,4.642,482
ObjectId("5c735712d778d81e8453d383"),Armenia,4.35,74
ObjectId("5c735712d778d81e8453d384"),Georgia,4.297,192
